order_year,order_month,total_revenue,total_orders
2003,1,8234.560000000001,1
2003,2,154522.51,4
2003,3,88460.83000000002,3
2003,4,116967.02,3
2003,5,104694,4
2003,6,66860.35,4
2003,7,70429.09,2
2003,8,118864.28,2
2003,9,74371.07,2
2003,10,179453.17,6
2003,11,326999.05,8
2003,12,84460.92000000001,2
2004,1,79556.6,2
2004,2,248923.9100000001,7
2004,3,58984.04000000001,4
2004,4,180219.42000000004,6
2004,5,109164.28,3
2004,6,114260.82000000002,4
2004,7,200962.00000000012,7
2004,8,200573.88,5
2004,10,291735.62,9
2004,11,341343.61000000004,9
2004,12,37905.149999999994,1
2005,1,150680.15,5
2005,2,82569.53,3
2005,3,116271.45,3
2005,4,119016.37,2
2005,5,102578.01999999999,5
2005,6,48316.89,1
2005,7,11021.3,1
2005,8,3987.2,1
2005,9,49538.340000000004,2
2005,12,44273.35999999999,1
